unknown,unknown
conn.tissue,conn-tissue
conntissue,conn-tissue
sc-fat-muscle,sc-fat-muscle
sc.fat.muscle,sc-fat-muscle
scfatmuscle,sc-fat-muscle
cranium,cranium
csf-sa,csf-sa
csf.sa,csf-sa
csfsa,csf-sa
muscle,muscle
ear,ear
adipose,adipose
spinal-cord,spinal-cord
spinal.cord,spinal-cord
spinalcord,spinal-cord
soft-tissue,soft-tissue
soft.tissue,soft-tissue
softtissue,soft-tissue
nerve,nerve
bone,bone
air,air
orbital-fat,orbital-fat
orbital.fat,orbital-fat
orbitalfat,orbital-fat
tongue,tongue
nasal-structures,nasal-structures
nasal.structures,nasal-structures
nasalstructures,nasal-structures
globe,globe
teeth,teeth
left-caudate-putamen,left-caudate-putamen
left.caudate.putamen,left-caudate-putamen
leftcaudateputamen,left-caudate-putamen
right-caudate-putamen,right-caudate-putamen
right.caudate.putamen,right-caudate-putamen
rightcaudateputamen,right-caudate-putamen
left-claustrum,left-claustrum
left.claustrum,left-claustrum
leftclaustrum,left-claustrum
right-claustrum,right-claustrum
right.claustrum,right-claustrum
rightclaustrum,right-claustrum
cornea,cornea
diploe,diploe
vitreous-humor,vitreous-humor
vitreous.humor,vitreous-humor
vitreoushumor,vitreous-humor
lens,lens
aqueous-humor,aqueous-humor
aqueous.humor,aqueous-humor
aqueoushumor,aqueous-humor
outer-table,outer-table
outer.table,outer-table
outertable,outer-table
inner-table,inner-table
inner.table,inner-table
innertable,inner-table
periosteum,periosteum
endosteum,endosteum
r-c-s,r-c-s
r.c.s,r-c-s
rcs,r-c-s
iris,iris
sc-adipose-muscle,sc-adipose-muscle
sc.adipose.muscle,sc-adipose-muscle
scadiposemuscle,sc-adipose-muscle
sc-tissue,sc-tissue
sc.tissue,sc-tissue
sctissue,sc-tissue
orbital-adipose,orbital-adipose
orbital.adipose,orbital-adipose
orbitaladipose,orbital-adipose
left-intcapsule-ant,left-intcapsule-ant
left.intcapsule.ant,left-intcapsule-ant
leftintcapsuleant,left-intcapsule-ant
right-intcapsule-ant,right-intcapsule-ant
right.intcapsule.ant,right-intcapsule-ant
rightintcapsuleant,right-intcapsule-ant
left-intcapsule-pos,left-intcapsule-pos
left.intcapsule.pos,left-intcapsule-pos
leftintcapsulepos,left-intcapsule-pos
right-intcapsule-pos,right-intcapsule-pos
right.intcapsule.pos,right-intcapsule-pos
rightintcapsulepos,right-intcapsule-pos
left-cerebral-wm-unmyelinated,left-cerebral-wm-unmyelinated
left.cerebral.wm.unmyelinated,left-cerebral-wm-unmyelinated
leftcerebralwmunmyelinated,left-cerebral-wm-unmyelinated
right-cerebral-wm-unmyelinated,right-cerebral-wm-unmyelinated
right.cerebral.wm.unmyelinated,right-cerebral-wm-unmyelinated
rightcerebralwmunmyelinated,right-cerebral-wm-unmyelinated
left-cerebral-wm-myelinated,left-cerebral-wm-myelinated
left.cerebral.wm.myelinated,left-cerebral-wm-myelinated
leftcerebralwmmyelinated,left-cerebral-wm-myelinated
right-cerebral-wm-myelinated,right-cerebral-wm-myelinated
right.cerebral.wm.myelinated,right-cerebral-wm-myelinated
rightcerebralwmmyelinated,right-cerebral-wm-myelinated
left-subcortical-gray-matter,left-subcortical-gray-matter
left.subcortical.gray.matter,left-subcortical-gray-matter
leftsubcorticalgraymatter,left-subcortical-gray-matter
right-subcortical-gray-matter,right-subcortical-gray-matter
right.subcortical.gray.matter,right-subcortical-gray-matter
rightsubcorticalgraymatter,right-subcortical-gray-matter
skull,skull
posterior-fossa,posterior-fossa
posterior.fossa,posterior-fossa
posteriorfossa,posterior-fossa
scalp,scalp
hematoma,hematoma
left-basal-ganglia,left-basal-ganglia
left.basal.ganglia,left-basal-ganglia
leftbasalganglia,left-basal-ganglia
right-basal-ganglia,right-basal-ganglia
right.basal.ganglia,right-basal-ganglia
rightbasalganglia,right-basal-ganglia
dcg,dcg
vermis,vermis
midbrain,midbrain
pons,pons
medulla,medulla
vermis-white-matter,vermis-white-matter
vermis.white.matter,vermis-white-matter
vermiswhitematter,vermis-white-matter
scp,scp
floculus,floculus
left-cortical-dysplasia,left-cortical-dysplasia
left.cortical.dysplasia,left-cortical-dysplasia
leftcorticaldysplasia,left-cortical-dysplasia
right-cortical-dysplasia,right-cortical-dysplasia
right.cortical.dysplasia,right-cortical-dysplasia
rightcorticaldysplasia,right-cortical-dysplasia
cblumnodulus,cblumnodulus
left-hippocampal_fissure,left-hippocampal_fissure
left.hippocampal_fissure,left-hippocampal_fissure
lefthippocampal_fissure,left-hippocampal_fissure
left-cadg-head,left-cadg-head
left.cadg.head,left-cadg-head
leftcadghead,left-cadg-head
left-subiculum,left-subiculum
left.subiculum,left-subiculum
leftsubiculum,left-subiculum
left-fimbria,left-fimbria
left.fimbria,left-fimbria
leftfimbria,left-fimbria
right-hippocampal_fissure,right-hippocampal_fissure
right.hippocampal_fissure,right-hippocampal_fissure
righthippocampal_fissure,right-hippocampal_fissure
right-cadg-head,right-cadg-head
right.cadg.head,right-cadg-head
rightcadghead,right-cadg-head
right-subiculum,right-subiculum
right.subiculum,right-subiculum
rightsubiculum,right-subiculum
right-fimbria,right-fimbria
right.fimbria,right-fimbria
rightfimbria,right-fimbria
alveus,alveus
perforant_pathway,perforant_pathway
parasubiculum,parasubiculum
presubiculum,presubiculum
subiculum,subiculum
ca1,ca1
ca2,ca2
ca3,ca3
ca4,ca4
gc-dg,gc-dg
gc.dg,gc-dg
gcdg,gc-dg
hata,hata
fimbria,fimbria
lateral_ventricle,lateral_ventricle
molecular_layer_hp,molecular_layer_hp
hippocampal_fissure,hippocampal_fissure
entorhinal_cortex,entorhinal_cortex
molecular_layer_subiculum,molecular_layer_subiculum
amygdala,amygdala
cerebral_white_matter,cerebral_white_matter
cerebral_cortex,cerebral_cortex
inf_lat_vent,inf_lat_vent
perirhinal,perirhinal
cerebral_white_matter_edge,cerebral_white_matter_edge
background,background
ectorhinal,ectorhinal
hp_tail,hp_tail
fornix,fornix
cc_posterior,cc_posterior
cc_mid_posterior,cc_mid_posterior
cc_central,cc_central
cc_mid_anterior,cc_mid_anterior
cc_anterior,cc_anterior
voxel-unchanged,voxel-unchanged
voxel.unchanged,voxel-unchanged
voxelunchanged,voxel-unchanged
csf-extracerebral,csf-extracerebral
csf.extracerebral,csf-extracerebral
csfextracerebral,csf-extracerebral
head-extracerebral,head-extracerebral
head.extracerebral,head-extracerebral
headextracerebral,head-extracerebral
skullapprox,skullapprox
boneorair,boneorair
possiblefluid,possiblefluid
sinus,sinus
left-eustachian,left-eustachian
left.eustachian,left-eustachian
lefteustachian,left-eustachian
right-eustachian,right-eustachian
right.eustachian,right-eustachian
righteustachian,right-eustachian
aorta,aorta
left-common-iliaca,left-common-iliaca
left.common.iliaca,left-common-iliaca
leftcommoniliaca,left-common-iliaca
right-common-iliaca,right-common-iliaca
right.common.iliaca,right-common-iliaca
rightcommoniliaca,right-common-iliaca
left-external-iliaca,left-external-iliaca
left.external.iliaca,left-external-iliaca
leftexternaliliaca,left-external-iliaca
right-external-iliaca,right-external-iliaca
right.external.iliaca,right-external-iliaca
rightexternaliliaca,right-external-iliaca
left-internal-iliaca,left-internal-iliaca
left.internal.iliaca,left-internal-iliaca
leftinternaliliaca,left-internal-iliaca
